date time lat lon depth ML nstn dmin gap trms ERH ERZ fixed nph quality
2018-07-14 11:46:07.93 24.5595 121.7975 67.38 4.30 99 5.00 39 0.22 0.10 0.10 F 245 B
2018-07-25 00:31:44.01 24.8982 121.9217 107.15 4.30 99 6.50 81 0.33 0.80 0.60 F 199 A
2018-08-04 01:49:20.18 24.6587 121.7853 76.44 4.18 99 7.60 62 0.24 0.20 0.20 F 222 B
2018-08-17 10:14:59.60 24.0130 121.0093 18.19 4.27 99 8.70 17 0.33 0.10 0.10 F 284 B
2018-08-17 10:09:42.53 24.0125 121.0122 18.75 4.92 99 5.60 18 0.30 0.10 0.10 F 290 B
2018-08-18 00:15:17.26 24.0147 121.0013 17.99 5.21 99 4.50 17 0.32 0.10 0.10 F 310 B
2018-08-22 20:30:16.08 22.8770 121.5723 18.70 4.26 99 24.90 127 0.32 0.10 0.10 F 260 C
2018-09-03 16:37:10.57 24.8312 121.9960 89.84 4.11 99 5.40 82 0.23 0.20 0.10 F 292 B
2018-09-03 05:59:49.20 24.0903 121.5360 19.67 4.46 99 7.10 53 0.28 0.10 0.10 F 258 B
2018-09-08 06:50:39.53 24.3118 121.7192 26.79 4.42 99 2.80 70 0.23 0.10 0.10 F 259 B
2018-09-09 13:16:34.61 23.9308 121.6103 44.52 4.62 99 3.10 91 0.29 0.20 0.20 F 282 B
2018-09-11 04:43:26.61 23.8740 121.5215 10.31 4.57 99 8.80 83 0.34 0.10 0.10 F 259 B
2018-09-17 20:08:17.81 24.0155 121.0157 18.53 4.48 99 9.30 13 0.24 0.10 0.10 F 250 B
2018-09-30 08:27:49.45 23.6210 121.6093 31.11 4.11 99 11.50 111 0.30 0.20 0.10 F 227 C
2018-10-09 08:12:58.70 22.9163 121.3750 24.77 4.63 99 9.40 106 0.34 0.10 0.10 F 222 C
2018-10-20 23:10:42.37 24.0810 121.4102 62.97 4.36 99 6.60 34 0.31 0.20 0.20 F 247 B
2018-10-31 00:11:28.10 23.7505 121.4015 22.18 4.27 99 4.00 54 0.35 0.10 0.10 F 246 B
2018-11-01 17:32:46.64 23.5702 121.6370 47.07 4.01 99 17.80 114 0.29 0.20 0.20 F 273 B
2018-11-16 02:01:35.14 24.7885 121.8142 82.30 4.47 99 6.50 35 0.25 0.20 0.20 F 255 B
2018-11-19 16:31:34.31 24.4098 121.9195 39.15 4.73 99 14.90 69 0.22 0.20 0.10 F 209 B
2018-11-19 14:40:15.22 24.3493 121.9373 25.55 4.50 99 19.40 69 0.29 0.10 0.10 F 246 B
2018-11-21 01:32:16.41 24.4180 121.9060 38.06 4.27 99 13.30 68 0.27 0.10 0.10 F 222 B
2018-11-27 11:25:49.88 24.6980 121.8345 83.60 4.02 99 10.30 56 0.28 0.20 0.20 F 200 B
2018-12-09 15:15:41.33 24.0518 121.5170 19.68 5.16 99 9.50 30 0.29 0.10 0.10 F 278 B
2018-12-10 10:58:07.71 23.0623 121.3382 18.75 4.61 99 5.30 112 0.31 0.10 0.10 F 250 C
2018-12-12 13:24:23.76 23.9062 121.5233 12.37 5.09 99 7.30 73 0.31 0.10 0.10 F 281 B
2018-12-15 21:21:05.48 23.7340 121.9102 32.87 5.80 99 35.90 128 0.27 0.30 0.20 F 268 B
2018-12-17 02:24:20.03 23.7315 121.9010 34.76 4.27 99 35.00 128 0.29 0.20 0.20 F 256 B
2018-12-22 14:47:18.86 23.9562 121.7213 51.51 4.44 99 11.20 102 0.29 0.20 0.20 F 259 B
2018-12-23 02:54:43.15 24.4540 121.7045 32.34 4.04 99 5.50 40 0.28 0.10 0.10 F 223 B
2018-12-25 03:43:15.87 23.2042 121.5300 36.07 4.21 99 13.80 109 0.30 0.20 0.20 F 240 B
2019-01-07 22:19:42.63 22.7925 121.3572 13.25 4.28 99 17.50 80 0.31 0.10 0.10 F 252 C
